year,state,county,division_yield,division_noaa,data_item,value,cv,temp_gs,pcpn_gs,county_padded,fips_full,GDD_GS,KDD_GS,TMAX_AVG_GS,PREC_GS,CHD_GS,GDD_SGF,KDD_SGF,TMAX_AVG_SGF,PREC_SGF,CHD_SGF
1949,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",54.0,,26.203703703703706,600.9639999999999,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1950,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",55.0,,24.31481481481482,518.668,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1951,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,24.462962962962962,549.1479999999999,001,17001,1680.6700000000005,94.95999999999998,24.516994535519117,548.8999999999999,25.0,639.64,66.67999999999998,29.742826086956523,180.11000000000004,19.0
1952,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",59.0,,26.740740740740744,537.2099999999999,001,17001,1942.6799999999998,256.53000000000003,26.75868852459016,537.2,57.0,674.34,101.72000000000001,30.88847826086957,123.19000000000003,20.0
1953,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",52.0,,27.157407407407405,324.866,001,17001,1982.5500000000002,375.81999999999994,27.18568306010929,325.28000000000014,67.0,702.04,158.39999999999998,32.19173913043478,75.66,26.0
1954,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,27.59259259259259,545.084,001,17001,2048.35,383.46000000000004,27.609234972677598,545.2399999999999,63.0,722.11,191.02999999999997,32.51347826086956,153.82000000000002,28.0
1955,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",54.0,,27.64814814814815,601.7259999999999,001,17001,2068.0699999999997,304.89,27.69868852459016,601.66,60.0,760.52,186.39000000000001,33.05021739130434,52.99,35.0
1956,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,27.037037037037038,436.11799999999994,001,17001,1946.3900000000003,247.10000000000002,27.069289617486344,436.32000000000005,50.0,678.26,98.13000000000001,30.778695652173905,199.74,17.0
1957,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,25.935185185185187,675.894,001,17001,1909.4299999999996,202.53,25.9851912568306,675.9199999999998,44.0,735.1999999999999,155.76999999999998,32.14565217391305,131.65,32.0
1958,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",72.0,,25.203703703703706,718.5659999999999,001,17001,1722.1399999999999,89.78,25.25169398907103,718.4200000000002,22.0,634.4899999999999,53.179999999999986,29.141739130434782,328.18,14.0
1959,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",62.0,,26.85185185185185,462.534,001,17001,2011.4100000000003,235.45999999999998,26.902677595628415,462.25000000000017,64.0,661.2,89.98,30.570000000000004,132.95000000000002,24.0
1960,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,25.962962962962962,636.0159999999998,001,17001,1858.77,156.94,25.984153005464474,636.32,38.0,627.51,64.87,29.719565217391303,161.44,17.0
1961,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70.0,,24.64814814814815,887.222,001,17001,1675.4299999999996,125.46999999999998,24.677213114754096,887.52,39.0,650.42,54.36999999999999,29.866739130434777,319.91,13.0
1962,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",78.0,,26.36111111111111,469.8999999999999,001,17001,1924.1499999999996,169.55,26.41519125683061,470.18,45.0,619.2800000000001,56.12,29.425,161.26999999999998,13.0
1963,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.0,,26.833333333333332,449.3259999999999,001,17001,1905.06,218.32000000000002,26.852459016393443,449.44000000000005,53.0,680.67,113.75,31.069347826086954,163.41000000000003,27.0
1964,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77.0,,26.712962962962962,574.548,001,17001,1935.0600000000002,215.01,26.744918032786877,574.3000000000001,49.0,673.7799999999999,129.25,31.088478260869568,92.27999999999999,25.0
1965,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",91.0,,25.638888888888886,782.5739999999998,001,17001,1833.5199999999998,87.83999999999999,25.684644808743172,782.1300000000001,23.0,615.98,58.41,29.400652173913045,129.95999999999998,15.0
1966,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77.0,,24.777777777777775,590.042,001,17001,1649.2799999999997,175.69,24.83256830601093,590.0499999999998,38.0,673.81,132.73999999999998,31.28543478260869,95.73,23.0
1967,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",100.0,,24.185185185185187,731.7740000000001,001,17001,1541.7900000000004,60.17999999999999,24.215901639344263,731.5200000000001,12.0,563.35,38.69,28.39673913043478,222.93,7.0
1968,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",97.0,,25.472222222222225,667.0039999999999,001,17001,1745.2400000000005,141.94000000000003,25.493060109289615,666.6400000000002,39.0,620.95,58.50000000000002,29.229565217391304,181.77999999999997,15.0
1969,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",74.0,,25.462962962962962,715.2639999999999,001,17001,1782.24,112.37,25.508961748633883,715.3999999999999,26.0,679.48,71.66000000000001,30.25326086956522,209.67999999999998,15.0
1970,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",79.0,,25.90740740740741,1091.692,001,17001,1891.0600000000004,136.06,25.940928961748636,1091.73,24.0,646.55,90.97,29.886739130434783,286.78,15.0
1971,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",104.0,,26.166666666666668,424.17999999999995,001,17001,1821.3399999999997,174.91999999999996,26.171748633879783,423.7700000000001,40.0,571.52,41.57000000000001,28.598695652173912,129.64000000000001,8.0
1972,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",105.0,,26.083333333333332,489.966,001,17001,1852.75,192.64999999999998,26.11469945355191,490.06999999999994,46.0,622.89,89.26000000000002,29.60260869565218,156.26000000000005,17.0
1973,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",97.0,,24.888888888888886,876.046,001,17001,1806.77,102.56,24.912131147540983,875.7299999999999,29.0,642.95,46.370000000000005,29.451304347826092,212.60000000000002,10.0
1974,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.0,,24.89814814814815,637.54,001,17001,1671.6899999999996,133.33,24.942404371584693,637.8299999999999,24.0,672.13,115.74000000000001,30.77326086956522,145.68,20.0
1975,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",95.0,,25.657407407407405,602.9959999999999,001,17001,1853.61,212.70999999999998,25.700273224043713,603.1999999999999,43.0,659.8900000000001,120.37000000000002,30.96804347826087,62.64,25.0
1976,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",85.0,,26.083333333333332,419.354,001,17001,1766.6,185.80999999999997,26.11464480874317,419.22999999999996,42.0,653.51,120.36,30.719130434782606,120.11,21.0
1977,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",62.0,,27.287037037037038,670.8140000000001,001,17001,2058.2099999999996,212.65000000000003,27.337431693989082,670.79,43.0,701.87,150.05,31.864347826086956,251.92000000000002,21.0
1978,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",98.0,,25.953703703703706,683.006,001,17001,1878.9600000000005,193.78000000000003,25.962459016393442,683.03,39.0,643.3000000000001,76.27,29.53108695652174,142.14000000000001,18.0
1979,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",124.0,,25.759259259259256,401.06600000000003,001,17001,1793.77,182.04,25.79311475409837,401.32000000000005,40.0,641.52,92.41000000000001,30.040652173913045,117.38,17.0
1980,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.0,,27.25,604.52,001,17001,2013.77,350.89,27.29857923497267,604.5199999999999,51.0,769.17,229.21999999999997,33.78434782608696,137.27,24.0
1981,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.0,,25.425925925925924,938.022,001,17001,1797.2300000000005,83.85000000000002,25.440983606557385,938.1099999999997,15.0,647.34,53.28000000000001,29.082608695652176,364.56,10.0
1982,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",124.0,,24.527777777777782,675.1319999999998,001,17001,1735.09,94.63999999999999,24.582841530054647,675.3800000000001,20.0,657.16,80.55000000000001,29.73130434782609,223.41000000000003,16.0
1983,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,26.314814814814813,470.40799999999996,001,17001,1938.6399999999999,431.22999999999996,26.37027322404373,470.23,68.0,767.9699999999999,227.47,33.82760869565217,37.73,33.0
1984,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",103.0,,25.35185185185185,642.1120000000001,001,17001,1790.5599999999997,196.85999999999993,25.387377049180326,641.9299999999998,43.0,661.5999999999999,97.75000000000001,30.630434782608695,141.23000000000002,23.0
1985,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",136.0,,25.62962962962963,566.674,001,17001,1831.3000000000002,113.5,25.653606557377046,566.7199999999998,26.0,625.63,60.579999999999984,29.644130434782618,239.34,12.0
1986,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",135.0,,26.666666666666668,767.334,001,17001,1979.1500000000003,138.51999999999992,26.67639344262296,767.23,30.0,662.18,77.21999999999998,29.872826086956525,221.03000000000003,14.0
1987,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",132.0,,27.5,522.478,001,17001,2074.0699999999997,280.67,27.533005464480883,522.32,50.0,740.1600000000001,164.78,32.26,224.29,26.0
1988,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",76.0,,28.212962962962965,287.274,001,17001,2027.99,389.26,28.261748633879776,287.3299999999999,68.0,755.0299999999999,220.54999999999998,33.66304347826088,44.14000000000001,33.0
1989,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",78.0,,25.40740740740741,478.53599999999994,001,17001,1755.1999999999996,177.45000000000005,25.438743169398908,478.7300000000001,39.0,670.91,118.34000000000002,31.083043478260873,85.83000000000001,24.0
1990,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.0,,25.203703703703706,678.688,001,17001,1800.27,183.54,25.22131147540983,678.92,35.0,612.15,63.34,28.97717391304348,159.39999999999995,10.0
1991,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",115.0,,26.85185185185186,686.3079999999999,001,17001,2035.9300000000005,223.35000000000002,26.87459016393443,686.4899999999999,50.0,657.04,96.21,30.171086956521737,136.65,18.0
1992,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",147.0,,24.39814814814815,487.426,001,17001,1592.6100000000001,61.230000000000025,24.434699453551918,487.3100000000001,15.0,573.21,30.81000000000001,27.676956521739132,237.33999999999997,5.0
1993,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",115.0,,24.2962962962963,964.9459999999999,001,17001,1735.7900000000004,107.13000000000002,24.352677595628414,964.93,23.0,636.87,35.48000000000001,28.612826086956524,307.76,8.0
1994,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",144.0,,25.490740740740744,551.942,001,17001,1762.5200000000002,146.20000000000002,25.52027322404372,551.8399999999999,34.0,597.4499999999998,51.240000000000016,28.87086956521739,89.29999999999998,11.0
1995,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",113.0,,24.740740740740737,829.818,001,17001,1737.9299999999996,180.87,24.777049180327868,829.8499999999999,38.0,699.3199999999999,109.83,30.79521739130435,249.31000000000003,18.0
1996,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",139.0,,24.435185185185187,604.012,001,17001,1665.2499999999998,107.16,24.476830601092907,604.01,28.0,601.7299999999999,52.86000000000001,28.96108695652174,78.94,14.0
1997,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",133.0,,24.5,423.92600000000004,001,17001,1665.5500000000002,146.50000000000003,24.523989071038248,423.79999999999995,30.0,631.08,89.91,29.80043478260869,81.14,17.0
1998,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",131.0,,26.074074074074073,700.0239999999999,001,17001,1994.7700000000002,162.04000000000005,26.1163387978142,699.9100000000002,48.0,659.29,50.57000000000001,29.430434782608696,96.36,13.0
1999,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",122.0,,26.111111111111114,489.45799999999997,001,17001,1857.42,209.47999999999996,26.141693989071044,489.46000000000004,40.0,698.03,131.42999999999998,31.24217391304348,78.43999999999998,19.0
2000,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172.0,,25.759259259259263,575.564,001,17001,1843.9499999999998,144.89000000000007,25.798196721311474,575.7499999999999,39.0,631.3,43.690000000000005,28.981304347826086,155.55,12.0
2001,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",152.0,,26.175925925925924,608.3299999999999,001,17001,1902.43,163.22000000000003,26.193278688524586,608.0500000000001,32.0,695.4700000000001,112.11000000000001,30.88260869565218,83.94000000000001,21.0
2002,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",146.0,,26.175925925925924,727.9639999999999,001,17001,1916.5600000000002,216.45,26.20377049180328,728.2399999999998,49.0,706.07,125.38,31.254565217391306,113.71999999999998,25.0
2003,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171.0,,25.222222222222225,648.7159999999999,001,17001,1737.33,134.78,25.266229508196712,648.71,25.0,633.5100000000001,56.800000000000004,29.460869565217394,143.96,11.0
2004,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",195.0,,25.203703703703706,606.5519999999999,001,17001,1729.3500000000001,60.900000000000006,25.229836065573764,606.2299999999999,15.0,543.4399999999999,30.679999999999993,27.395434782608696,116.01,7.0
2005,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",129.0,,27.416666666666668,431.2919999999999,001,17001,2021.8800000000003,299.7699999999999,27.44448087431694,431.1,57.0,695.9700000000001,159.61,31.924565217391308,107.83,27.0
2006,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",129.0,,26.60185185185185,443.99199999999996,001,17001,1918.0,210.85999999999996,26.62879781420764,443.8500000000001,37.0,720.94,149.33,31.886521739130433,126.97,21.0
2007,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",162.0,,27.06481481481481,389.382,001,17001,2042.9200000000003,261.44,27.107103825136605,389.37999999999994,49.0,680.08,124.13999999999999,31.26869565217391,46.480000000000004,21.0
2008,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",171.0,,24.703703703703706,911.606,001,17001,1710.9500000000007,81.03999999999999,24.72174863387979,911.8400000000001,15.0,632.8899999999999,57.480000000000004,29.30021739130435,184.42999999999998,12.0
2009,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172.0,,24.444444444444446,727.9639999999999,001,17001,1669.1699999999998,68.72999999999999,24.466775956284152,728.17,11.0,558.91,18.32,27.641739130434782,107.96,4.0
2010,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",121.9,,26.953703703703706,1017.0160000000001,001,17001,2061.4700000000003,189.46000000000006,26.981147540983606,1016.9899999999998,35.0,736.0,113.42,31.350652173913037,329.2,21.0
2011,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",135.8,,26.01851851851852,583.9459999999999,001,17001,1879.7000000000003,270.31999999999994,26.07573770491803,583.9599999999999,52.0,752.3299999999999,157.86999999999995,32.28326086956522,41.71,32.0
2012,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",76.0,,27.98148148148148,391.414,001,17001,2022.1899999999998,389.48,28.02890710382514,391.1799999999999,60.0,748.95,240.18,33.88413043478261,70.78,30.0
2013,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",153.3,,25.537037037037038,643.128,001,17001,1836.22,197.68,25.58087431693989,643.3699999999999,41.0,599.46,50.91999999999999,28.73586956521739,50.36,12.0
2014,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",202.4,,24.953703703703706,790.702,001,17001,1769.0,94.40000000000002,24.979726775956273,791.06,18.0,544.78,14.880000000000003,27.0504347826087,181.42,1.0
2015,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",158.1,,26.06481481481481,799.592,001,17001,1927.33,125.46000000000001,26.08311475409836,799.8600000000001,21.0,641.34,59.160000000000004,29.101956521739133,262.82,8.0
2016,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",193.1,,26.38888888888889,612.14,001,17001,2006.55,187.39000000000004,26.40300546448088,612.4899999999999,37.0,666.64,66.35000000000001,29.51760869565218,255.9,9.0
2017,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",192.2,,26.444444444444446,599.1859999999999,001,17001,1902.5400000000002,175.46000000000004,26.46469945355192,599.5400000000001,38.0,645.71,87.82999999999998,30.144347826086953,94.59,13.0
2018,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",197.8,,26.84259259259259,544.068,001,17001,2137.3999999999996,272.9600000000001,26.886612021857925,543.7400000000001,59.0,680.6700000000001,101.84999999999998,30.65152173913043,107.15,26.0
2019,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",168.1,,25.796296296296294,798.83,001,17001,1929.04,143.38,25.694426229508196,798.7500000000001,32.0,692.4399999999999,81.49,30.53021739130435,88.94000000000001,17.0
2020,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",177.5,3.0,24.962962962962962,632.7139999999999,001,17001,1795.8500000000004,133.67000000000002,25.04475409836065,635.2600000000002,33.0,664.86,70.19000000000001,29.532826086956522,168.23999999999998,18.0
2021,17,001,nan,3,,,,25.66666666666667,697.23,001,17001,1912.9799999999996,148.81000000000003,25.694371584699457,696.6799999999998,44.0,635.77,44.33,28.633478260869566,202.88,14.0
2022,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",200.8,3.8,25.65740740740741,570.4839999999999,001,17001,1900.4299999999996,163.46,25.73147540983607,564.7900000000001,39.0,670.96,72.29,29.838913043478264,137.89999999999998,19.0
2023,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",185.7,2.6,26.89814814814815,350.01200000000006,001,17001,1931.39,192.60000000000002,26.925409836065572,343.90000000000003,43.0,648.82,80.14999999999999,29.781956521739122,164.17,15.0
1926,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.0,,27.944444444444443,497.84,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1927,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",27.0,,26.870370370370367,970.026,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1928,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",18.0,,26.305555555555554,791.4639999999999,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1929,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",24.0,,26.962962962962962,691.1339999999999,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1930,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",15.0,,29.259259259259256,278.13,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1931,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30.0,,28.537037037037038,497.33199999999994,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1932,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",30.0,,28.48148148148148,518.16,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1933,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",35.0,,28.509259259259256,773.1759999999999,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1934,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",15.0,,29.203703703703706,480.05999999999995,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1935,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",25.0,,26.824074074074073,620.7760000000001,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1936,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",19.0,,29.925925925925924,364.7439999999999,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1937,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",33.0,,28.0,542.798,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1938,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",32.0,,28.361111111111114,484.12399999999997,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1939,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",29.0,,28.231481481481485,433.32399999999996,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1940,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",33.0,,27.02777777777777,461.0099999999999,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1941,17,003,08,8,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",35.0,,29.666666666666668,388.1119999999999,003,17003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
