year,state,county,division_yield,division_noaa,data_item,value,cv,temp_gs,pcpn_gs,fips,tmax_m01,tmax_m02,tmax_m03,tmax_m04,tmax_m05,tmax_m06,tmax_m07,tmax_m08,tmax_m09,tmax_m10,tmax_m11,tmax_m12,prcp_m01,prcp_m02,prcp_m03,prcp_m04,prcp_m05,prcp_m06,prcp_m07,prcp_m08,prcp_m09,prcp_m10,prcp_m11,prcp_m12
1954,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,27.59259259259259,545.084,17001,2.203225806451613,10.141071428571427,8.287419354838711,20.898000000000003,20.89258064516129,31.041999999999998,34.43451612903226,29.734516129032258,28.579333333333334,18.483870967741936,11.279666666666666,3.9874193548387096,21.14,40.92,54.76,121.8,59.29,85.67,62.86,168.47,47.15,121.17,37.62,38.36
1955,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",54.0,,27.64814814814815,601.7259999999999,17001,1.7764516129032257,3.8314285714285714,10.318064516129033,21.466333333333335,24.40032258064516,26.233666666666668,33.59032258064516,32.67258064516129,27.576666666666664,19.0641935483871,8.226333333333333,2.958064516129032,59.4,72.86999999999999,38.94,113.61,169.47,117.66999999999999,41.83,93.4,65.68,156.58,13.11,4.33
1956,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,27.03703703703704,436.118,17001,0.7819354838709677,3.891034482758621,11.703548387096774,16.999333333333333,25.57193548387097,30.517666666666667,30.37290322580645,30.772903225806452,27.997333333333334,24.004193548387097,10.508999999999999,4.570967741935483,10.17,24.72,16.900000000000002,69.94,52.2,71.82,103.21000000000001,134.53,4.62,22.91,32.98,53.08
1957,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,25.935185185185187,675.894,17001,-1.221290322580645,6.411071428571428,9.251612903225807,16.413666666666668,23.154516129032256,28.122333333333334,32.388064516129035,30.61709677419355,24.942,17.249032258064517,8.890333333333333,7.200322580645161,53.61,40.730000000000004,74.55000000000001,160.28,156.04,136.56,108.95,57.68,56.410000000000004,111.66000000000001,41.81,69.39
1958,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",72.0,,25.203703703703702,718.5659999999999,17001,0.49967741935483867,-1.2007142857142856,6.26,17.334,24.516451612903225,26.342333333333332,28.07903225806452,30.118387096774192,24.887999999999998,20.596451612903227,12.772,2.2006451612903226,28.45,15.38,14.73,74.43,63.940000000000005,138.16,287.89,83.47,70.53,34.07,72.30999999999999,9.19
1959,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",62.0,,26.85185185185185,462.534,17001,-1.6729032258064516,3.3725,10.468709677419353,17.465666666666667,25.363225806451613,29.985333333333337,30.690967741935488,31.557419354838707,26.123333333333335,16.662258064516127,6.615666666666667,5.650967741935484,43.32,49.129999999999995,68.36,69.87,116.96000000000001,24.41,62.35,102.84,85.82,117.8,10.28,41.22
1960,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,25.96296296296296,636.0159999999998,17001,1.7490322580645161,0.07586206896551725,1.6583870967741936,18.966,21.901612903225807,26.786333333333335,29.57709677419355,30.421935483870968,28.120333333333335,20.07161290322581,12.465333333333332,2.27258064516129,41.96,43.17,61.800000000000004,91.47,129.91,200.47,105.11,76.28,33.08,76.6,32.65,27.15
1961,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70.0,,24.64814814814815,887.222,17001,1.1183870967741936,6.016785714285715,10.503870967741936,14.002666666666666,21.15064516129032,28.037666666666667,29.76032258064516,29.628709677419355,25.266333333333332,19.245806451612903,9.938333333333333,1.416774193548387,8.09,41.040000000000006,113.27,80.59,100.06,82.92,238.98,89.21000000000001,295.76,70.12,82.25,37.89
1962,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",78.0,,26.36111111111111,469.8999999999999,17001,-1.8903225806451613,3.643214285714286,7.1087096774193546,17.235666666666667,28.12548387096774,28.440333333333335,29.720645161290324,30.388709677419353,24.280666666666665,20.208387096774196,10.916333333333334,2.672258064516129,48.81,42.019999999999996,76.18,30.080000000000002,104.61,96.05,116.66,49.519999999999996,73.25999999999999,102.15,28.62,17.87
1963,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.0,,26.83333333333333,449.3259999999999,17001,-4.333225806451613,1.3682142857142858,13.141935483870967,20.137999999999998,23.058709677419355,31.112666666666666,30.998709677419356,29.118709677419353,26.600666666666665,26.38774193548387,12.378666666666668,-2.403225806451613,12.83,20.45,101.97,54.97,103.83,17.89,146.2,79.01,47.54,32.4,47.23,11.829999999999998
1964,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77.0,,26.71296296296296,574.548,17001,5.668064516129032,3.876551724137931,8.52032258064516,18.494666666666667,26.29806451612903,28.545333333333335,31.265483870967742,29.644193548387097,25.98933333333333,19.236129032258066,13.657333333333334,2.1396774193548387,27.21,23.44,105.07,177.13,41.06,96.67,92.27,92.34,74.83,6.32,89.87,28.32
1965,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",91.0,,25.63888888888889,782.5739999999998,17001,2.5787096774193548,4.151071428571429,3.2651612903225806,17.729666666666667,26.55548387096774,27.68933333333333,29.11064516129032,28.48677419354839,24.299333333333333,19.148387096774194,12.715666666666667,8.81516129032258,156.64000000000001,31.9,80.01,118.78,43.050000000000004,173.49,112.99,162.17,171.65,24.97,18.66,61.87
1966,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77.0,,24.77777777777777,590.042,17001,-0.9483870967741936,3.9282142857142857,13.078387096774193,15.239,21.46677419354839,27.613999999999997,33.01096774193548,28.098387096774193,23.297,19.07935483870968,12.311666666666667,3.3941935483870966,17.27,37.099999999999994,53.18,125.66000000000001,123.02000000000001,113.19,63.07,44.05,121.06,43.12,29.900000000000002,74.14
1967,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",100.0,,24.185185185185187,731.7740000000001,17001,4.589032258064516,2.4274999999999998,11.535483870967743,18.004,20.248709677419356,27.627,28.801935483870967,26.989354838709676,23.511333333333333,18.40064516129032,8.864333333333333,3.849354838709677,44.59,18.45,60.69,133.02,121.85,124.67,210.51,45.690000000000005,95.78,155.03,38.41,61.33
1968,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",97.0,,25.472222222222225,667.0039999999999,17001,1.2487096774193547,2.3255172413793104,13.21483870967742,18.686666666666667,21.341290322580647,29.44633333333333,29.681935483870966,28.760322580645163,24.93166666666667,19.38258064516129,8.387666666666666,2.436451612903226,19.03,33.82,26.79,57.8,99.03,162.47,107.57,91.53,148.24,46.41,92.99,61.91
1969,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",74.0,,25.46296296296296,715.2639999999999,17001,-1.2732258064516129,2.8225000000000002,6.50516129032258,18.603,22.89741935483871,26.223333333333336,30.69,29.36258064516129,25.063333333333333,17.490000000000002,10.296666666666665,1.0796774193548386,98.12,57.120000000000005,54.31,109.83,107.29,160.99,189.5,44.17,103.62,232.68,11.74,32.36
1970,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",79.0,,25.90740740740741,1091.692,17001,-2.837741935483871,4.956071428571429,7.790322580645161,18.541666666666668,24.988709677419354,26.903666666666666,30.743225806451612,28.60483870967742,25.646333333333335,18.163225806451614,9.383999999999999,5.168709677419354,10.59,8.219999999999999,56.13,173.58,152.41,123.79,84.39,271.91999999999996,285.64,76.03,39.39,41.199999999999996
1971,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",104.0,,26.166666666666668,424.18,17001,-0.5383870967741935,2.575357142857143,8.828709677419354,19.562333333333335,21.828387096774197,31.19433333333333,28.427096774193547,29.016774193548386,26.976333333333333,22.179032258064513,11.361666666666668,5.531612903225806,42.57,40.62,23.720000000000002,25.630000000000003,70.84,59.09,100.46000000000001,63.66,104.08999999999999,73.02,55.37,113.07
1972,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",105.0,,26.08333333333333,489.966,17001,0.5235483870967742,2.9631034482758625,10.27516129032258,17.688666666666666,24.42064516129032,28.565333333333335,30.286451612903225,29.38032258064516,26.15533333333333,16.82903225806452,6.128333333333333,0.4445161290322581,18.19,27.31,78.75,114.57,48.480000000000004,55.6,74.12,92.54,104.76,67.82000000000001,100.44,51.61
1973,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",97.0,,24.88888888888889,876.046,17001,2.0761290322580646,4.094285714285714,12.616774193548387,15.57,21.372258064516128,28.490666666666666,29.861290322580647,29.493870967741934,24.485,21.20258064516129,11.644666666666666,1.8048387096774194,59.15,43.01,203.75,165.54,181.53,153.8,148.3,67.17999999999999,159.38,145.26,56.599999999999994,91.96
1974,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.0,,24.89814814814815,637.54,17001,-0.3041935483870967,5.295714285714285,12.757096774193547,19.687333333333335,21.75258064516129,25.63566666666667,32.53741935483871,27.572903225806453,22.233999999999998,19.69,9.635666666666667,2.7145161290322584,70.05,41.09,83.94,79.54,215.46,106.61,89.28,100.11,46.83,59.38,99.86,60.989999999999995
1975,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",95.0,,25.657407407407405,602.9959999999999,17001,2.985161290322581,0.9014285714285714,6.822258064516129,16.093666666666667,24.71516129032258,28.424333333333333,30.87451612903226,30.60451612903226,23.186333333333334,21.128064516129033,13.068333333333333,4.6899999999999995,45.77,76.79,55.74,95.48,145.6,119.66,24.73,95.3,122.43,44.88,81.71000000000001,45.6
1976,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",85.0,,26.08333333333333,419.354,17001,0.5367741935483871,10.12241379310345,13.667741935483871,19.355,21.74967741935484,28.787666666666667,32.14258064516129,28.740322580645163,25.76966666666667,15.305483870967743,7.376333333333333,2.0674193548387096,20.36,47.01,120.88,99.33,93.13,40.6,40.849999999999994,79.52,65.80000000000001,104.61,11.27,6.24
1977,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",62.0,,27.28703703703704,670.8140000000001,17001,-6.642903225806452,4.3621428571428575,13.34290322580645,21.404,26.682903225806452,28.69333333333333,33.47193548387097,28.213225806451614,25.34733333333333,17.571290322580648,9.918000000000001,1.0641935483870968,35.58,22.07,116.81,39.52,103.78999999999999,43.21,81.56,238.6,164.10999999999999,160.4,80.72,37.89
1978,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",98.0,,25.953703703703702,683.006,17001,-4.374516129032258,-3.2564285714285717,5.676451612903226,17.428333333333335,21.57,28.816666666666666,30.162580645161288,29.061612903225804,28.638666666666666,18.794193548387096,11.044,2.786774193548387,16.3,26.509999999999998,61.559999999999995,125.58,166.0,90.11,118.67,41.97,140.7,47.8,80.73,50.94
1979,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",124.0,,25.759259259259256,401.066,17001,-6.70258064516129,-2.642857142857143,9.955483870967742,14.948333333333332,23.901290322580646,29.191,30.146774193548385,29.440967741935484,26.926666666666666,20.13064516129032,9.958333333333334,6.296451612903225,70.65,29.04,93.72,118.49,54.190000000000005,57.97,99.85000000000001,62.949999999999996,7.87,52.38,62.38,36.519999999999996
1980,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.0,,27.25,604.52,17001,0.9651612903225807,-0.4189655172413793,7.728709677419355,17.069666666666667,24.379354838709677,28.682666666666666,34.115483870967736,32.26548387096774,26.983333333333334,17.78,11.356666666666666,4.143548387096774,23.63,17.73,100.47,49.02,89.44,84.59,72.9,159.71,148.86,44.18,20.259999999999998,75.5
1981,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.0,,25.425925925925924,938.022,17001,2.334516129032258,6.0725,12.109677419354838,21.512,20.45709677419355,28.369333333333334,29.249032258064517,27.851290322580645,25.166,18.157096774193548,12.059,1.615483870967742,5.15,35.34,29.020000000000003,133.09,183.65,172.5,325.39,74.94999999999999,48.53,62.31,94.03,28.97
1982,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",124.0,,24.527777777777786,675.1319999999998,17001,-3.4819354838709677,1.4014285714285715,8.954193548387096,14.747666666666667,25.243870967741934,24.995,30.317741935483873,27.74451612903226,24.129666666666665,19.718387096774194,10.256666666666666,6.88516129032258,85.41,29.91,106.04,80.21,124.19,125.24,175.89,96.32,73.53,63.019999999999996,74.87,199.55
1983,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,26.314814814814813,470.408,17001,1.5480645161290323,5.605357142857143,8.92483870967742,12.526666666666667,20.820645161290326,28.817999999999998,34.134516129032264,34.447096774193554,27.131666666666668,18.88225806451613,11.776333333333334,-5.067741935483871,8.34,33.9,70.5,172.92999999999998,95.89,38.5,26.869999999999997,50.38,85.66000000000001,111.92999999999999,167.94,74.59
1984,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",103.0,,25.35185185185185,642.1120000000001,17001,0.29967741935483866,8.249655172413794,4.503225806451613,15.028333333333334,21.745806451612903,29.733,30.043548387096774,31.328709677419358,24.213,19.543548387096774,11.125,7.395806451612904,6.54,47.44,122.54,120.3,147.32,94.52,140.15,19.55,120.09,141.22,90.59,93.03
1985,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",136.0,,25.62962962962963,566.674,17001,-2.810967741935484,0.6271428571428571,13.259677419354839,20.598666666666666,24.64483870967742,26.326666666666664,30.363548387096774,26.696129032258067,25.133666666666667,18.515806451612903,8.304333333333334,-0.9606451612903226,41.39,95.44,123.36,29.08,96.17,79.83,151.31,126.81,83.52000000000001,114.39,266.33,68.11
1986,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",135.0,,26.666666666666668,767.334,17001,4.3667741935483875,1.4032142857142857,13.221935483870968,21.109333333333332,23.88225806451613,29.541666666666668,31.23774193548387,27.31451612903226,26.892666666666667,18.42806451612903,7.093999999999999,3.559032258064516,2.05,50.02,23.509999999999998,48.67,133.47,105.91,190.33,37.86,250.99,169.45999999999998,41.95,50.7
1987,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",132.0,,27.5,522.478,17001,1.0135483870967743,8.020357142857142,13.03225806451613,19.285666666666668,27.243548387096773,30.178333333333335,32.08774193548387,30.203225806451613,25.96833333333333,16.983548387096775,12.238333333333333,4.5525806451612905,39.160000000000004,9.54,76.76,54.24,68.56,70.39,111.74,158.79,58.6,20.74,82.22,95.74
1988,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",76.0,,28.212962962962965,287.274,17001,0.5458064516129034,1.5579310344827586,11.076129032258065,18.552666666666667,26.363548387096774,31.003666666666668,32.82838709677419,32.95451612903226,27.622333333333334,16.67225806451613,11.454333333333333,5.631612903225806,41.8,25.04,58.370000000000005,33.75,53.699999999999996,60.85,17.36,82.24000000000001,39.43,26.89,89.28,46.96
1989,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",78.0,,25.40740740740741,478.536,17001,7.208064516129032,-1.8646428571428573,10.906451612903227,18.158,22.075161290322583,27.648000000000003,31.436129032258062,29.592903225806452,23.496,20.63258064516129,11.816333333333334,-1.9951612903225806,24.01,30.04,31.39,67.64,80.28,51.629999999999995,82.65,109.49,87.04,42.96,17.32,16.92
1990,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.0,,25.203703703703702,678.688,17001,8.208387096774194,7.741785714285714,12.65258064516129,16.804666666666666,20.166451612903224,28.166999999999998,29.76483870967742,29.251935483870966,27.055666666666664,19.23516129032258,14.676666666666668,3.326451612903226,31.18,103.96000000000001,103.3,56.470000000000006,198.79,185.03,114.58,66.12,57.93000000000001,57.89,88.71000000000001,86.28
1991,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",115.0,,26.85185185185186,686.3079999999999,17001,-1.058709677419355,6.791428571428571,13.446129032258064,19.638333333333332,25.353548387096776,30.195666666666668,30.727741935483873,29.72935483870968,25.43,19.61935483870968,7.156000000000001,5.619677419354839,28.84,17.48,82.99,110.53,313.68,30.27,98.04,52.37,81.6,164.05,75.28,57.0
1992,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",147.0,,24.39814814814815,487.426,17001,4.659032258064516,7.281724137931035,12.523548387096774,16.785333333333334,23.029677419354837,27.44633333333333,28.36193548387097,26.34709677419355,24.490000000000002,19.01806451612903,7.2476666666666665,3.4264516129032256,13.44,39.03,50.480000000000004,99.26,17.47,24.77,216.65,28.05,101.11,36.73,208.75,74.35
1993,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",115.0,,24.2962962962963,964.946,17001,0.7103225806451613,1.4296428571428572,7.151935483870968,15.169333333333332,23.034516129032255,27.389000000000003,29.12709677419355,29.743225806451612,21.358,16.912258064516127,8.146333333333333,3.7293548387096775,56.900000000000006,45.28,73.05,121.25,77.23,172.39,217.88,128.79,247.39000000000001,59.39,70.91,23.73
1994,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",144.0,,25.490740740740744,551.942,17001,-2.378387096774193,3.005714285714286,11.626129032258065,18.063666666666666,22.741612903225807,29.136666666666667,29.210645161290323,28.843225806451613,24.984666666666666,19.951290322580647,12.752999999999998,5.940645161290322,16.99,50.1,26.130000000000003,179.1,81.45,112.68,55.13,80.84,42.64,73.18,112.28,56.11000000000001
1995,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",113.0,,24.740740740740737,829.818,17001,-0.844516129032258,4.465,12.28032258064516,15.976666666666667,20.043870967741935,27.459,30.774838709677418,31.398064516129033,22.747,19.80483870967742,8.176333333333334,3.0629032258064517,75.08,24.3,27.86,122.24000000000001,276.27,67.57,75.53999999999999,219.26,68.97,54.29,47.14,10.98
1996,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",139.0,,24.435185185185187,604.012,17001,0.782258064516129,4.950344827586207,7.14,16.122333333333334,21.89516129032258,27.324666666666666,28.801612903225806,28.82709677419355,23.687,19.390645161290323,5.701333333333333,3.2358064516129033,54.44,18.19,49.83,54.00000000000001,252.01,81.61,67.03,79.66,69.7,37.41,48.42,16.75
1997,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",133.0,,24.5,423.926,17001,-0.6696774193548386,4.425357142857143,12.331935483870968,14.614,20.54,27.233666666666668,30.506129032258066,28.093548387096774,25.971,19.636451612903226,7.97,2.7880645161290323,42.25,122.06,63.7,85.62,99.86,50.18,46.58,103.52,38.04,57.449999999999996,49.73,51.09
1998,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",131.0,,26.074074074074076,700.0239999999999,17001,3.309032258064516,8.02142857142857,8.246774193548386,16.57133333333333,25.016774193548386,27.295,29.65,30.183870967741935,27.764333333333333,19.35,12.746666666666666,6.254838709677419,51.5,91.83,122.18,124.65,128.01,227.45999999999998,65.86,38.76,115.16999999999999,122.57000000000001,106.43,48.43
1999,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",122.0,,26.111111111111114,489.458,17001,-0.05387096774193554,8.398571428571428,9.47967741935484,18.09466666666667,23.263548387096773,27.738,32.344193548387096,29.306774193548385,25.886666666666667,20.005806451612905,16.660999999999998,5.078387096774194,75.76,44.77,51.96,142.23,84.86,94.06,52.33,44.88,71.1,25.02,7.76,77.42
2000,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",172.0,,25.759259259259263,575.564,17001,3.0683870967741935,8.952413793103448,13.79225806451613,18.186,24.743870967741938,26.364333333333335,28.60483870967742,30.04774193548387,26.642333333333333,20.276451612903227,7.832,-3.908709677419355,18.77,69.69,60.7,36.65,84.63,182.67,97.94,106.28999999999999,67.57,63.07,52.33,23.72
2001,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",152.0,,26.175925925925924,608.3299999999999,17001,0.772258064516129,3.6210714285714287,7.973870967741935,21.394333333333336,23.823225806451614,26.651333333333334,30.69516129032258,29.923870967741934,24.476333333333333,18.115806451612904,16.333000000000002,7.00516129032258,83.59,87.31,45.15,80.69,146.74,122.66000000000001,55.93,119.02,83.01,106.59,52.019999999999996,32.02
2002,17,1,3.0,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",146.0,,26.175925925925924,727.9639999999999,17001,6.095806451612903,7.321071428571429,9.050967741935484,18.13266666666667,21.026451612903227,29.208000000000002,31.601290322580645,29.461612903225806,27.676666666666666,16.323548387096775,9.295666666666667,5.961290322580646,75.51,24.8,36.4,142.81,229.13,108.49,102.78999999999999,120.52,24.5,83.66,10.77,40.879999999999995
