year,state,county,division_yield,division_noaa,data_item,value,cv,temp_gs,pcpn_gs,county_padded,fips_full,tmax_avg_jan,prcp_tot_jan,tmax_avg_feb,prcp_tot_feb,tmax_avg_mar,prcp_tot_mar,tmax_avg_apr,prcp_tot_apr,tmax_avg_may,prcp_tot_may,tmax_avg_jun,prcp_tot_jun,tmax_avg_jul,prcp_tot_jul,tmax_avg_aug,prcp_tot_aug,tmax_avg_sep,prcp_tot_sep,tmax_avg_oct,prcp_tot_oct,tmax_avg_nov,prcp_tot_nov,tmax_avg_dec,prcp_tot_dec
1943,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,25.712962962962962,643.8900000000001,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1944,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",45.0,,26.166666666666668,645.414,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1945,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",37.0,,24.65740740740741,790.7019999999999,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1946,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,25.675925925925927,589.28,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1947,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",23.0,,26.277777777777782,676.91,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1948,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",69.0,,26.759259259259256,511.80999999999995,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1949,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",54.0,,26.203703703703706,600.9639999999999,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1950,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",55.0,,24.31481481481482,518.668,001,17001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1951,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,24.462962962962962,549.1479999999999,001,17001,2.280645161290324,35.39999999999999,4.206785714285714,90.99000000000002,6.574193548387097,145.77999999999997,14.503333333333336,64.29,24.640967741935484,61.17,25.985666666666663,108.83999999999999,29.58193548387097,140.57999999999998,29.008064516129036,94.32000000000002,23.05933333333333,79.70000000000002,19.15032258064516,68.36,6.843666666666667,54.36,2.477419354838708,34.25
1952,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",59.0,,26.740740740740744,537.2099999999999,001,17001,3.7619354838709675,19.260000000000005,6.538965517241381,40.52,7.81741935483871,102.83,17.567999999999998,87.67,22.97741935483871,109.53999999999999,31.665333333333333,107.95,31.98451612903226,92.15000000000002,29.235483870967737,66.32,26.990666666666662,73.57000000000001,18.294838709677414,19.759999999999998,11.608333333333336,73.33000000000001,4.5038709677419355,46.88
1953,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",52.0,,27.157407407407405,324.866,001,17001,2.5545161290322587,27.32,7.560357142857144,30.930000000000003,10.4058064516129,104.08,14.768000000000002,63.35,23.419999999999998,53.470000000000006,31.931,74.66000000000001,32.60096774193548,48.89,31.56903225806452,31.550000000000004,28.624000000000002,53.36,22.39838709677419,33.660000000000004,12.466333333333331,12.219999999999999,6.14741935483871,31.03
1954,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,27.59259259259259,545.084,001,17001,2.203225806451613,21.14,10.141071428571427,40.92000000000001,8.28741935483871,54.76,20.898,121.8,20.892580645161292,59.290000000000006,31.041999999999998,85.67,34.43451612903226,62.86,29.73451612903226,168.47000000000003,28.57933333333333,47.15,18.483870967741932,121.17000000000002,11.27966666666666,37.62,3.98741935483871,38.36
1955,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",54.0,,27.64814814814815,601.7259999999999,001,17001,1.7764516129032264,59.4,3.8314285714285714,72.87,10.318064516129036,38.94,21.466333333333328,113.61000000000003,24.400322580645163,169.47000000000003,26.23366666666667,117.67000000000002,33.59032258064516,41.83,32.67258064516129,93.4,27.57666666666666,65.67999999999999,19.06419354838709,156.57999999999998,8.226333333333331,13.11,2.9580645161290318,4.33
1956,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,27.037037037037038,436.11799999999994,001,17001,0.7819354838709676,10.169999999999998,3.8910344827586214,24.720000000000002,11.703548387096772,16.900000000000002,16.999333333333333,69.94,25.571935483870966,52.199999999999996,30.517666666666667,71.82,30.372903225806454,103.21000000000001,30.772903225806456,134.53000000000003,27.997333333333337,4.62,24.004193548387097,22.91,10.509000000000006,32.980000000000004,4.570967741935482,53.08
1957,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,25.935185185185187,675.894,001,17001,-1.2212903225806448,53.61,6.411071428571428,40.730000000000004,9.251612903225807,74.55000000000001,16.413666666666664,160.28,23.154516129032256,156.03999999999996,28.122333333333327,136.55999999999997,32.388064516129035,108.95,30.617096774193545,57.68000000000001,24.942000000000004,56.410000000000004,17.24903225806452,111.66,8.890333333333333,41.81,7.200322580645161,69.39
1958,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",72.0,,25.203703703703706,718.5659999999999,001,17001,0.49967741935483856,28.449999999999996,-1.200714285714286,15.379999999999999,6.259999999999999,14.73,17.334,74.43000000000002,24.516451612903225,63.94,26.342333333333332,138.16,28.07903225806452,287.89,30.118387096774192,83.47,24.887999999999995,70.53,20.596451612903227,34.07,12.771999999999997,72.30999999999999,2.2006451612903226,9.19
1959,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",62.0,,26.85185185185185,462.534,001,17001,-1.6729032258064511,43.32,3.3725,49.13,10.468709677419353,68.36,17.465666666666664,69.87000000000002,25.363225806451617,116.95999999999998,29.985333333333337,24.409999999999997,30.690967741935477,62.349999999999994,31.5574193548387,102.84,26.123333333333335,85.82,16.662258064516127,117.8,6.615666666666667,10.28,5.650967741935484,41.22
1960,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",60.0,,25.962962962962962,636.0159999999998,001,17001,1.7490322580645155,41.959999999999994,0.07586206896551737,43.17000000000001,1.6583870967741938,61.8,18.965999999999998,91.46999999999998,21.901612903225804,129.91,26.786333333333335,200.47,29.577096774193556,105.11,30.421935483870964,76.27999999999999,28.120333333333342,33.07999999999999,20.07161290322581,76.6,12.46533333333333,32.65,2.2725806451612907,27.150000000000002
1961,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",70.0,,24.64814814814815,887.222,001,17001,1.1183870967741931,8.09,6.0167857142857155,41.040000000000006,10.503870967741934,113.27,14.002666666666668,80.59,21.15064516129032,100.06,28.037666666666667,82.91999999999999,29.760322580645166,238.98000000000002,29.62870967741935,89.21,25.266333333333332,295.76,19.245806451612903,70.12,9.938333333333334,82.25000000000001,1.416774193548387,37.89
1962,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",78.0,,26.36111111111111,469.8999999999999,001,17001,-1.8903225806451613,48.81,3.643214285714287,42.02,7.1087096774193546,76.18,17.235666666666663,30.080000000000005,28.125483870967745,104.61000000000001,28.44033333333333,96.05,29.720645161290328,116.65999999999998,30.388709677419353,49.52,24.28066666666667,73.26,20.2083870967742,102.15,10.916333333333334,28.62,2.6722580645161287,17.87
1963,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.0,,26.833333333333332,449.3259999999999,001,17001,-4.333225806451614,12.83,1.3682142857142858,20.45,13.141935483870968,101.97,20.137999999999995,54.97,23.058709677419355,103.83,31.112666666666662,17.89,30.998709677419352,146.19999999999996,29.118709677419357,79.01,26.600666666666672,47.540000000000006,26.387741935483866,32.400000000000006,12.378666666666668,47.230000000000004,-2.403225806451613,11.830000000000002
1964,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77.0,,26.712962962962962,574.548,001,17001,5.668064516129031,27.21,3.8765517241379315,23.44,8.52032258064516,105.07000000000001,18.494666666666664,177.13,26.29806451612903,41.06,28.54533333333334,96.67,31.26548387096774,92.27000000000001,29.644193548387094,92.34,25.989333333333335,74.83,19.236129032258066,6.32,13.65733333333333,89.87,2.1396774193548387,28.32
1965,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",91.0,,25.638888888888886,782.5739999999998,001,17001,2.5787096774193556,156.64000000000001,4.151071428571428,31.900000000000002,3.2651612903225806,80.00999999999999,17.729666666666663,118.78,26.555483870967738,43.050000000000004,27.68933333333333,173.49,29.110645161290318,112.99,28.48677419354839,162.17,24.299333333333333,171.65,19.148387096774194,24.970000000000002,12.715666666666666,18.66,8.815161290322582,61.87
1966,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",77.0,,24.777777777777775,590.042,001,17001,-0.948387096774194,17.27,3.9282142857142857,37.099999999999994,13.078387096774195,53.17999999999999,15.238999999999999,125.66000000000001,21.46677419354839,123.02000000000001,27.614,113.19,33.010967741935495,63.07,28.098387096774196,44.04999999999999,23.297,121.06,19.079354838709673,43.120000000000005,12.311666666666666,29.9,3.394193548387096,74.14
1967,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",100.0,,24.185185185185187,731.7740000000001,001,17001,4.589032258064515,44.59,2.4274999999999993,18.450000000000003,11.535483870967743,60.69,18.003999999999998,133.02,20.24870967741936,121.85,27.627000000000002,124.66999999999999,28.801935483870967,210.51,26.98935483870968,45.69,23.51133333333333,95.78,18.400645161290324,155.02999999999997,8.864333333333333,38.41,3.849354838709677,61.33
1968,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",97.0,,25.472222222222225,667.0039999999999,001,17001,1.2487096774193542,19.03,2.325517241379311,33.82,13.214838709677421,26.79,18.686666666666667,57.8,21.341290322580644,99.03000000000002,29.446333333333335,162.47,29.681935483870976,107.57,28.76032258064516,91.53000000000002,24.931666666666676,148.24,19.38258064516129,46.41,8.38766666666667,92.99,2.436451612903225,61.91
1969,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",74.0,,25.462962962962962,715.2639999999999,001,17001,-1.2732258064516127,98.12,2.8224999999999993,57.120000000000005,6.505161290322581,54.31,18.603000000000005,109.82999999999998,22.897419354838714,107.28999999999999,26.223333333333336,160.99,30.690000000000005,189.50000000000003,29.362580645161287,44.17,25.063333333333333,103.61999999999999,17.489999999999995,232.68,10.296666666666663,11.74,1.0796774193548395,32.36000000000001
1970,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",79.0,,25.90740740740741,1091.692,001,17001,-2.837741935483871,10.59,4.956071428571429,8.219999999999999,7.79032258064516,56.12999999999999,18.541666666666668,173.58000000000004,24.98870967741935,152.41,26.903666666666673,123.79,30.74322580645162,84.39,28.60483870967742,271.92,25.646333333333335,285.64,18.16322580645161,76.03,9.384000000000002,39.39,5.168709677419355,41.2
1971,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",104.0,,26.166666666666668,424.17999999999995,001,17001,-0.5383870967741934,42.56999999999999,2.575357142857143,40.62,8.828709677419354,23.72,19.562333333333335,25.630000000000003,21.8283870967742,70.84000000000003,31.19433333333334,59.089999999999996,28.42709677419354,100.46000000000002,29.016774193548386,63.66,26.97633333333334,104.08999999999999,22.179032258064517,73.02,11.361666666666668,55.37,5.531612903225806,113.07000000000001
1972,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",105.0,,26.083333333333332,489.966,001,17001,0.5235483870967741,18.19,2.9631034482758625,27.31,10.275161290322576,78.75000000000001,17.688666666666666,114.57,24.420645161290317,48.480000000000004,28.56533333333334,55.599999999999994,30.28645161290322,74.12,29.380322580645164,92.53999999999999,26.155333333333324,104.76000000000002,16.82903225806452,67.82,6.128333333333333,100.44000000000001,0.444516129032258,51.61000000000001
1973,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",97.0,,24.888888888888886,876.046,001,17001,2.076129032258064,59.15,4.094285714285713,43.010000000000005,12.616774193548386,203.75,15.57,165.54,21.37225806451613,181.52999999999997,28.490666666666666,153.8,29.861290322580647,148.3,29.493870967741934,67.17999999999999,24.485000000000003,159.38,21.202580645161294,145.25999999999996,11.644666666666664,56.6,1.804838709677419,91.96
1974,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.0,,24.89814814814815,637.54,001,17001,-0.3041935483870975,70.04999999999998,5.295714285714285,41.09,12.757096774193549,83.94,19.68733333333334,79.53999999999999,21.752580645161288,215.45999999999998,25.635666666666673,106.60999999999999,32.537419354838704,89.28,27.572903225806456,100.11000000000001,22.233999999999998,46.83,19.690000000000005,59.38000000000001,9.635666666666669,99.86,2.714516129032259,60.99
1975,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",95.0,,25.657407407407405,602.9959999999999,001,17001,2.985161290322581,45.769999999999996,0.9014285714285714,76.79,6.822258064516128,55.74,16.093666666666667,95.48,24.715161290322584,145.6,28.424333333333333,119.66000000000001,30.87451612903226,24.730000000000004,30.604516129032252,95.3,23.186333333333327,122.42999999999999,21.12806451612903,44.88,13.068333333333333,81.71000000000001,4.690000000000001,45.60000000000001
1976,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",85.0,,26.083333333333332,419.354,001,17001,0.536774193548387,20.36,10.122413793103446,47.010000000000005,13.667741935483868,120.88000000000001,19.355,99.33,21.749677419354843,93.13,28.787666666666667,40.599999999999994,32.14258064516129,40.849999999999994,28.74032258064516,79.52000000000001,25.769666666666662,65.8,15.305483870967743,104.60999999999999,7.376333333333333,11.27,2.0674193548387088,6.24
1977,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",62.0,,27.287037037037038,670.8140000000001,001,17001,-6.642903225806453,35.58,4.3621428571428575,22.069999999999997,13.342903225806449,116.81000000000002,21.403999999999996,39.519999999999996,26.68290322580645,103.79,28.693333333333335,43.209999999999994,33.471935483870965,81.55999999999999,28.213225806451614,238.60000000000008,25.347333333333335,164.11,17.571290322580644,160.39999999999998,9.918000000000001,80.72,1.064193548387097,37.89000000000001
1978,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",98.0,,25.953703703703706,683.006,001,17001,-4.374516129032258,16.3,-3.2564285714285703,26.509999999999998,5.676451612903227,61.559999999999995,17.42833333333333,125.58,21.57,166.00000000000003,28.816666666666666,90.11000000000001,30.16258064516129,118.66999999999999,29.061612903225804,41.97,28.638666666666666,140.7,18.794193548387096,47.800000000000004,11.044000000000004,80.73,2.786774193548387,50.93999999999999
1979,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",124.0,,25.759259259259256,401.06600000000003,001,17001,-6.70258064516129,70.65,-2.6428571428571423,29.04,9.955483870967743,93.71999999999998,14.94833333333333,118.49000000000002,23.90129032258065,54.19000000000001,29.191,57.97,30.146774193548385,99.85000000000001,29.440967741935484,62.949999999999996,26.926666666666677,7.87,20.130645161290325,52.38000000000001,9.958333333333334,62.38,6.296451612903224,36.519999999999996
1980,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",82.0,,27.25,604.52,001,17001,0.9651612903225807,23.63,-0.4189655172413797,17.73,7.7287096774193556,100.46999999999998,17.069666666666667,49.02000000000001,24.37935483870967,89.44000000000001,28.682666666666666,84.59,34.11548387096774,72.9,32.26548387096775,159.70999999999998,26.983333333333334,148.86,17.78,44.18,11.356666666666667,20.26,4.143548387096774,75.5
1981,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.0,,25.425925925925924,938.022,001,17001,2.334516129032258,5.1499999999999995,6.0725,35.34,12.109677419354837,29.02,21.512,133.08999999999997,20.457096774193552,183.64999999999998,28.369333333333326,172.50000000000003,29.249032258064517,325.39,27.851290322580642,74.95,25.166,48.53,18.157096774193548,62.309999999999995,12.058999999999997,94.03,1.6154838709677426,28.97
1982,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",124.0,,24.527777777777782,675.1319999999998,001,17001,-3.4819354838709677,85.41,1.4014285714285712,29.910000000000004,8.954193548387096,106.03999999999999,14.74766666666667,80.21000000000001,25.243870967741934,124.19,24.995,125.24,30.317741935483863,175.89000000000007,27.74451612903226,96.32,24.129666666666665,73.53,19.718387096774194,63.01999999999999,10.256666666666668,74.86999999999999,6.885161290322581,199.54999999999998
1983,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",46.0,,26.314814814814813,470.40799999999996,001,17001,1.548064516129032,8.34,5.605357142857144,33.9,8.92483870967742,70.5,12.526666666666666,172.92999999999998,20.82064516129032,95.88999999999999,28.818000000000005,38.5,34.13451612903224,26.869999999999997,34.447096774193554,50.379999999999995,27.13166666666667,85.66,18.88225806451613,111.92999999999999,11.776333333333332,167.94,-5.067741935483871,74.58999999999999
1984,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",103.0,,25.35185185185185,642.1120000000001,001,17001,0.29967741935483866,6.54,8.249655172413792,47.440000000000005,4.5032258064516135,122.53999999999999,15.028333333333334,120.3,21.7458064516129,147.32000000000002,29.732999999999997,94.52000000000001,30.043548387096774,140.15,31.32870967741935,19.55,24.213,120.09,19.543548387096774,141.22,11.125,90.59,7.395806451612905,93.03
1985,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",136.0,,25.62962962962963,566.674,001,17001,-2.810967741935484,41.39,0.6271428571428564,95.44,13.259677419354839,123.36000000000001,20.598666666666666,29.080000000000002,24.644838709677412,96.16999999999999,26.326666666666668,79.83,30.363548387096785,151.31,26.696129032258067,126.81000000000002,25.133666666666674,83.52,18.5158064516129,114.39000000000003,8.304333333333334,266.33,-0.9606451612903224,68.11
1986,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",135.0,,26.666666666666668,767.334,001,17001,4.366774193548388,2.05,1.4032142857142857,50.02,13.22193548387097,23.509999999999998,21.109333333333332,48.67,23.882258064516126,133.47,29.541666666666668,105.91,31.237741935483864,190.33,27.314516129032263,37.86,26.89266666666666,250.98999999999998,18.428064516129027,169.46,7.094,41.95,3.5590322580645157,50.7
1987,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",132.0,,27.5,522.478,001,17001,1.0135483870967743,39.16,8.020357142857144,9.54,13.032258064516132,76.76,19.28566666666667,54.239999999999995,27.24354838709678,68.56000000000002,30.178333333333335,70.39,32.08774193548387,111.74000000000001,30.203225806451613,158.79,25.96833333333333,58.59999999999999,16.983548387096775,20.74,12.238333333333332,82.21999999999998,4.55258064516129,95.74000000000001
1988,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",76.0,,28.212962962962965,287.274,001,17001,0.545806451612903,41.8,1.5579310344827584,25.040000000000003,11.076129032258063,58.370000000000005,18.552666666666664,33.74999999999999,26.363548387096774,53.699999999999996,31.00366666666667,60.85,32.828387096774186,17.360000000000003,32.954516129032264,82.24000000000001,27.622333333333334,39.43,16.672258064516125,26.89,11.454333333333333,89.28,5.631612903225807,46.96
1989,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",78.0,,25.40740740740741,478.53599999999994,001,17001,7.208064516129032,24.01,-1.8646428571428564,30.04,10.906451612903227,31.39,18.158,67.64,22.07516129032258,80.28,27.648,51.63,31.436129032258062,82.65,29.592903225806452,109.49,23.495999999999995,87.03999999999999,20.63258064516129,42.96,11.816333333333334,17.32,-1.9951612903225806,16.92
1990,17,001,03,3,"CORN, GRAIN - YIELD, MEASURED IN BU / ACRE",116.0,,25.203703703703706,678.688,001,17001,8.208387096774192,31.18,7.741785714285714,103.96,12.652580645161287,103.3,16.804666666666666,56.47,20.166451612903227,198.79,28.167000000000005,185.03,29.764838709677424,114.57999999999998,29.25193548387096,66.11999999999999,27.055666666666674,57.93000000000001,19.235161290322583,57.89,14.67666666666667,88.71000000000001,3.326451612903227,86.28
